epic_number,orig_class,updated_class,agree,final_decision,
201185922,  RRab, Noise,y,  RRab,
204994280,  RRab,OTHPER,y,  RRab,
206166251,  RRab, Noise,y,  RRab,
206213997,  RRab, Noise,y,  RRab,
210437334,  RRab, Noise,y,  RRab,
210644048,  RRab, Noise,y,  RRab,
210662654,  RRab, Noise,y,  RRab,
211012043,  RRab, Noise,y,  RRab,
211051536,  RRab, Noise,y,  RRab,
211084813,  RRab,OTHPER,y,  RRab,
211091135,  RRab, Noise,y,  RRab,
211115616,  RRab, Noise,y,  RRab,
201246763,    EA, Noise,y,    EA,
201562530,    EA, Noise,y,    EA,
203011840,    EA, Noise,y,    EA,
203656002,    EA, Noise,y,    EA,
203724283,    EA, Noise,y,    EA,
203783195,    EA, Noise,y,    EA,
203908645,    EA, Noise,y,    EA,
203911955,    EA, Noise,y,    EA,
204059927,    EA, Noise,OTHPER?,OTHPER,
204105782,    EA, Noise,y,    EA,
204171214,    EA, Noise,y,    EA,
204183093,    EA, Noise,y,    EA,
204183656,    EA, Noise,y,    EA,
204185956,    EA, Noise,y,    EA,
204234138,    EA, Noise,y,    EA,
204236712,    EA, Noise,y,    EA,
204760247,    EA,OTHPER,Noise, Noise,
204951319,    EA, Noise,y, Noise,
204959709,    EA, Noise,y, Noise,
205019541,    EA, Noise,y, Noise,
205931694,    EA, Noise,y, Noise,
205936222,    EA, Noise,y, Noise,
205939315,    EA, Noise,y, Noise,
205947214,    EA, Noise,y, Noise,
206034019,    EA, Noise,y, Noise,
206075677,    EA, Noise,y, Noise,
206135075,    EA, Noise,y, Noise,
206252759,    EA, Noise,y, Noise,
206253908,    EA, Noise,y, Noise,
206256886,    EA, Noise,y, Noise,
206366683,    EA, Noise,y, Noise,
210308588,    EA, Noise,y, Noise,
210314566,    EA, Noise,y, Noise,
210320059,    EA, Noise,y, Noise,
210320253,    EA, Noise,y, Noise,
210325131,    EA, Noise,y, Noise,
210336890,    EA, Noise,y, Noise,
210344373,    EA,OTHPER,y,OTHPER,
210347636,    EA, Noise,y, Noise,
210355590,    EA, Noise,y, Noise,
210472256,    EA, Noise,y, Noise,
210744764,    EA, Noise,y, Noise,
210753478,    EA, Noise,y, Noise,
210760314,    EA, Noise,y, Noise,
210805420,    EA, Noise,y, Noise,
210823406,    EA, Noise,y, Noise,
210857749,    EA, Noise,y, Noise,
210894266,    EA, Noise,y, Noise,
210919541,    EA, Noise,y, Noise,
210925707,    EA, Noise,EA,    EA,
210956967,    EA,OTHPER,y,OTHPER,
210965731,    EA,OTHPER,y,OTHPER,
211000368,    EA, Noise,y, Noise,
211000473,    EA, Noise,y, Noise,
211001045,    EA, Noise,y, Noise,
211021319,    EA, Noise,y, Noise,
211061230,    EA, Noise,y, Noise,
211068725,    EA, Noise,y, Noise,
211083408,    EA, Noise,OTHPER?, Noise,
211083574,    EA, Noise,y, Noise,
211087248,    EA,OTHPER,y,OTHPER,
211090558,    EA, Noise,y, Noise,
211096747,    EA, Noise,y, Noise,
211103431,    EA, Noise,y, Noise,
211120889,    EA, Noise,y, Noise,
211154046,    EA, Noise,y, Noise,
203396402,    EB, Noise,OTHPER?,OTHPER,
204275121,    EB,    EA,y,    EA,
205955699,    EB,OTHPER,y,OTHPER,
205963269,    EB,OTHPER,EB,    EB,
205964285,    EB,OTHPER,EB,    EB,
205996447,    EB,    EA,y,    EA,
206038285,    EB,    EA,y,    EA,
206067723,    EB,    EA,y,    EA,
206067769,    EB,    EA,y,    EA,
206094715,    EB,    EA,y,    EA,
206134477,    EB,    EA,y,    EA,
206139574,    EB,    EA,y,    EA,
206159239,    EB,    EA,y,    EA,
206260730,    EB,    EA,y,    EA,
206268154,    EB,    EA,y,    EA,
206314138,    EB,    EA,y,    EA,
206532093,    EB,    EA,y,    EA,
210404228,    EB,    EA,y,    EA,
210467408,    EB,    EA,y,    EA,
210472483,    EB,    EA,y,    EA,
210474285,    EB,OTHPER,y,OTHPER,
210475773,    EB,    EA,y,    EA,
210476794,    EB,    EA,y,    EA,
210577029,    EB,OTHPER,y,OTHPER,
210663545,    EB,    EA,y,    EA,
210675130,    EB,    EA,y,    EA,
210701688,    EB,OTHPER,y,OTHPER,
210749423,    EB,    EA,y,    EA,
210762209,    EB,OTHPER,y,OTHPER,
210786891,    EB,    EA,y,    EA,
210863062,    EB,    EA,y,    EA,
210919084,    EB,OTHPER,y,OTHPER,
210960936,    EB,    EA,y,    EA,
210963463,    EB,OTHPER,y,OTHPER,
210969614,    EB,    EA,y,    EA,
211019716,    EB,OTHPER,y,OTHPER,
211069510,    EB,OTHPER,y,OTHPER,
211110500,    EB,OTHPER,y,OTHPER,
211160700,    EB,    EA,y,    EA,
211160717,    EB,    EA,y,    EA,
201199000,  GDOR, Noise,y, Noise,
203486145,  GDOR, Noise,GDOR?, Remove?,I think it is a GDOR but perhaps not good enough to train
205075874,  GDOR, Noise,GDOR?, Remove?,""""""
205947774,  GDOR, Noise,y, Noise,
205997245,  GDOR, Noise,y, Noise,
206044766,  GDOR, Noise,y, Noise,
206109113,  GDOR,OTHPER,y,OTHPER,
206152015,  GDOR,OTHPER,y,OTHPER,
206173295,  GDOR,OTHPER,y,OTHPER,
206175552,  GDOR, Noise,y, Noise,
206281827,  GDOR, Noise,y, Noise,
206294591,  GDOR, Noise,y, Noise,
206319939,  GDOR, Noise,y, Noise,
206352638,  GDOR, Noise,y, Noise,
206356447,  GDOR, Noise,y, Noise,
206413222,  GDOR, Noise,y, Noise,
206457216,  GDOR, Noise,y, Noise,
206457505,  GDOR, Noise,y, Noise,
206458594,  GDOR, Noise,y, Noise,
206492774,  GDOR, Noise,y, Noise,
210489675,  GDOR, Noise,y, Noise,
210754756,  GDOR,    EA,y,    EA,
210898824,  GDOR, Noise,y, Noise,
210935498,  GDOR,OTHPER,EA?,Remove?,EA but not good enough?
210938595,  GDOR, Noise,y, Noise,
211066015,  GDOR, Noise,y, Noise,
211159550,  GDOR,OTHPER,y,OTHPER,
204090458, DSCUT, Noise,DSCUT,Remove?,DSCUT but not good enough?
204181806, DSCUT, Noise,DSCUT,Remove?,DSCUT but not good enough?
204558226, DSCUT, Noise,y, Noise,
205170167, DSCUT, Noise,y, Noise,
205962814, DSCUT, Noise,y, Noise,
205987947, DSCUT, Noise,y, Noise,
206002435, DSCUT, Noise,y, Noise,
206036810, DSCUT, Noise,y, Noise,
206047180, DSCUT, Noise,y, Noise,
206079165, DSCUT,    EB,y,    EB,
206096844, DSCUT,    EB,y,    EB,
206100814, DSCUT, Noise,y, Noise,
206105799, DSCUT, Noise,y, Noise,
206110325, DSCUT, Noise,y, Noise,
206111932, DSCUT, Noise,y, Noise,
206126602, DSCUT, Noise,y, Noise,
206132092, DSCUT, Noise,y, Noise,
206132405, DSCUT, Noise,y, Noise,
206132515, DSCUT, Noise,y, Noise,
206185841, DSCUT, Noise,y, Noise,
206271029, DSCUT, Noise,y, Noise,
206320221, DSCUT, Noise,y, Noise,
206409999, DSCUT, Noise,y, Noise,
206410129, DSCUT,    EB,y,    EB,
206422648, DSCUT, Noise,y, Noise,
206471682, DSCUT, Noise,y, Noise,
210431599, DSCUT, Noise,y, Noise,
210453345, DSCUT,    EB,y,    EB,
210557508, DSCUT, Noise,y, Noise,
210610151, DSCUT, Noise,y, Noise,
210672985, DSCUT, Noise,y, Noise,
210688253, DSCUT, Noise,y, Noise,
210725850, DSCUT, Noise,y, Noise,
210735321, DSCUT, Noise,y, Noise,
210792230, DSCUT, Noise,y, Noise,
210808585, DSCUT, Noise,y, Noise,
210923995, DSCUT, Noise,y, Noise,
210936758, DSCUT, Noise,y, Noise,
210954667, DSCUT,    EB,EA,    EA,
210967051, DSCUT, Noise,y, Noise,
210972718, DSCUT, Noise,y, Noise,
211009199, DSCUT, Noise,y, Noise,
211016921, DSCUT, Noise,y, Noise,
211032114, DSCUT, Noise,y, Noise,
211073349, DSCUT, Noise,y, Noise,
211116358, DSCUT, Noise,y, Noise,
211136427, DSCUT, Noise,y, Noise,
211136846, DSCUT, Noise,y, Noise,
211147528, DSCUT,OTHPER,y,OTHPER,
211150917, DSCUT, Noise,y, Noise,
205919993,OTHPER,    EA,y,    EA,FROM HERE ARE CHANCES DISAGREEMENTS
206154641,OTHPER,    EA,y,    EA,
210742688,OTHPER,    EA,y,    EA,
206100511,OTHPER,    EB,<0.5,    EB,
206156025,OTHPER,    EB,y,    EB,
206424802,OTHPER,    EB,OTHPER,OTHPER,
210327060,OTHPER,    EB,<0.5,OTHPER,
210331848,OTHPER,    EB,WRONGPERIOD,OTHPER,
210366107,OTHPER,    EB,OTHPER,OTHPER,
210542037,OTHPER,    EB,y,    EB,
210529250,OTHPER,    EB,OTHPER,OTHPER,
210619926,OTHPER,    EB,OTHPER,OTHPER,
210636169,OTHPER,    EB,OTHPER,OTHPER,
210747698,OTHPER,    EB,OTHPER,OTHPER,
210822498,OTHPER,    EB,OTHPER,OTHPER,
210961514,OTHPER,    EB,y,    EB,
211030057,OTHPER,    EB,y,    EB,
211108263,OTHPER,    EB,OTHPER,OTHPER,
211108136,OTHPER,    EB,OTHPER,OTHPER,
211171449,OTHPER,    EB,OTHPER,OTHPER,
211158357,OTHPER,    EA,y,    EA,
206067457,OTHPER,  RRab,y,  RRab,
206248753,OTHPER,  RRab,y,  RRab,
206419920,OTHPER,  RRab,y,  RRab,
205943711,OTHPER,  RRab,y,  RRab,
210607917,OTHPER,  RRab,y,  RRab,
210617106,OTHPER,  RRab,y,  RRab,
205924614, Noise,    EA,y,    EA,
210484192, Noise,    EA,y,    EA,
210903662, Noise,    EA,y,    EA,
210609071, Noise,    EA,y,    EA,
210957318, Noise,    EA,y,    EA,
211082420, Noise,    EA,y,    EA,
211155479, Noise,    EA,y,    EA,
211155977, Noise,    EA,y,    EA,
206315178, Noise,    EA,y,    EA,
211029254, Noise,    EB,< 0.5, Noise,
211064559, Noise,    EB,OTHPER,OTHPER,
210414957, Noise,    EA,y,    EA,
210681941,Noise,  RRab,y,  RRab,<0.4 exception